statics2,Applications in Engineering Mechanics,en,https://www.coursera.org/maestro/api/topic/information?topic-id=statics2
informationtheory,Information Theory,en,https://www.coursera.org/maestro/api/topic/information?topic-id=informationtheory
cplusplus4c,C++ For C Programmers,en,https://www.coursera.org/maestro/api/topic/information?topic-id=cplusplus4c
bioinfomethods1,Bioinformatic Methods I,en,https://www.coursera.org/maestro/api/topic/information?topic-id=bioinfomethods1
interactivepython,An Introduction to Interactive Programming in Python,en,https://www.coursera.org/maestro/api/topic/information?topic-id=interactivepython
foe,Fundamentals of Online Education: Planning and Application,en,https://www.coursera.org/maestro/api/topic/information?topic-id=foe
networksonline,Social and Economic Networks:  Models and Analysis,en,https://www.coursera.org/maestro/api/topic/information?topic-id=networksonline
compphoto,Computational Photography,en,https://www.coursera.org/maestro/api/topic/information?topic-id=compphoto
conrob,Control of Mobile Robots,en,https://www.coursera.org/maestro/api/topic/information?topic-id=conrob
sjtuma153,数学之旅 The Journey of Mathematics,zh-Hans,https://www.coursera.org/maestro/api/topic/information?topic-id=sjtuma153
statreasoning,"Statistical Reasoning for Public Health: Estimation, Inference, & Interpretation",en,https://www.coursera.org/maestro/api/topic/information?topic-id=statreasoning
fmri,Statistical Analysis of fMRI Data,en,https://www.coursera.org/maestro/api/topic/information?topic-id=fmri
latex,Документы и презентации в LaTeX (Introduction to LaTeX),ru,https://www.coursera.org/maestro/api/topic/information?topic-id=latex
datamanagement,Data Management for Clinical Research,en,https://www.coursera.org/maestro/api/topic/information?topic-id=datamanagement
k12virtualtrends,Emerging Trends & Technologies in the Virtual K-12 Classroom,en,https://www.coursera.org/maestro/api/topic/information?topic-id=k12virtualtrends
netsysbio,Network Analysis in Systems Biology,en,https://www.coursera.org/maestro/api/topic/information?topic-id=netsysbio
sdn,Software Defined Networking,en,https://www.coursera.org/maestro/api/topic/information?topic-id=sdn
machlearning,Machine Learning,en,https://www.coursera.org/maestro/api/topic/information?topic-id=machlearning
